pcode,township_name,latitude,longitude,total_population
MMR141,Township_141,14.5321,100.7289,10832
MMR142,Township_142,18.9505,92.3884,43631
MMR143,Township_143,15.4158,100.0203,48146
MMR144,Township_144,15.1271,96.7493,27236
MMR145,Township_145,10.664,100.9367,76634
MMR146,Township_146,20.9722,92.6642,262294
MMR147,Township_147,19.0482,96.9847,237574
MMR148,Township_148,10.9266,100.7237,29559
MMR149,Township_149,15.0156,96.7079,9170
MMR150,Township_150,26.3488,97.6646,771319
MMR151,Township_151,14.3121,98.2617,123876
MMR152,Township_152,12.6081,96.0909,9641
MMR153,Township_153,18.8101,97.648,226210
MMR154,Township_154,27.7417,97.2588,149734
MMR155,Township_155,14.357,100.1104,36428
MMR156,Township_156,22.0984,92.409,45785
MMR157,Township_157,23.7092,94.5287,25208
MMR158,Township_158,14.2775,100.5537,6912
MMR159,Township_159,23.1079,100.0124,20640
MMR160,Township_160,16.6201,96.1009,102608
MMR161,Township_161,21.3815,97.5812,5154
MMR162,Township_162,21.4035,94.4964,20529
MMR163,Township_163,19.6439,93.6931,25143
MMR164,Township_164,11.6252,96.1733,38591
MMR165,Township_165,25.0354,95.1802,223980
MMR166,Township_166,15.774,97.2529,21385
MMR167,Township_167,13.3573,92.6996,21426
MMR168,Township_168,10.734,100.7696,76960
MMR169,Township_169,20.6361,100.8759,29684
MMR170,Township_170,22.1962,98.2835,14240
MMR171,Township_171,10.2986,96.8249,29704
MMR172,Township_172,19.2177,94.7857,10325
MMR173,Township_173,14.0769,99.3242,11905
MMR174,Township_174,21.6131,98.1626,34197
MMR175,Township_175,13.1386,93.4636,26804
MMR176,Township_176,22.4369,100.1983,213324
MMR177,Township_177,16.9612,99.4028,22494
MMR178,Township_178,26.8611,100.5482,44236
MMR179,Township_179,12.4754,98.5315,52412
MMR180,Township_180,16.1392,97.5207,5441
MMR181,Township_181,12.0425,95.7642,58358
MMR182,Township_182,26.6445,100.3946,11981
MMR183,Township_183,25.7921,99.7946,390294
MMR184,Township_184,14.6429,92.407,10663
MMR185,Township_185,21.8797,92.2373,26451
MMR186,Township_186,24.71,95.3882,8063
MMR187,Township_187,19.9936,99.295,2293840
MMR188,Township_188,19.5337,100.8855,34603
MMR189,Township_189,14.3533,93.3538,46399
MMR190,Township_190,11.6758,97.3472,7368
MMR191,Township_191,26.1499,95.428,80978
MMR192,Township_192,26.2075,100.7292,13503
MMR193,Township_193,21.3958,99.5791,184117
MMR194,Township_194,16.1025,99.545,13269
MMR195,Township_195,16.2858,96.2182,12573
MMR196,Township_196,23.0672,95.7334,6256
MMR197,Township_197,26.148,94.4607,31545
MMR198,Township_198,25.9676,92.5074,42070
MMR199,Township_199,24.0378,99.7825,7317
MMR200,Township_200,21.5566,99.3161,90371
MMR201,Township_201,11.5145,100.9975,29782
MMR202,Township_202,12.9093,100.9697,37060
MMR203,Township_203,26.174,96.9989,28661
MMR204,Township_204,20.9157,98.9209,25345
MMR205,Township_205,10.1655,100.5029,41383
MMR206,Township_206,11.8265,99.6468,10951
MMR207,Township_207,21.943,94.2261,12162
MMR208,Township_208,10.0911,96.0549,142040
MMR209,Township_209,12.8945,93.1624,305477
MMR210,Township_210,19.8772,100.5865,23275
MMR211,Township_211,22.4541,97.4556,16713
MMR212,Township_212,21.7353,94.0578,54541
MMR213,Township_213,14.0368,98.0453,25976
MMR214,Township_214,22.8192,97.5632,5864
MMR215,Township_215,14.2705,95.2235,10992
MMR216,Township_216,15.8572,93.022,70716
MMR217,Township_217,23.4368,98.0442,57424
MMR218,Township_218,21.6934,96.6828,5924
MMR219,Township_219,25.286,98.9509,14107
MMR220,Township_220,21.837,96.6815,14572
MMR221,Township_221,20.2296,99.6696,60105
MMR222,Township_222,11.6861,96.9672,5668
MMR223,Township_223,16.6189,97.0484,8802
MMR224,Township_224,14.7736,99.8899,101160
MMR225,Township_225,14.3918,95.6313,12005
MMR226,Township_226,27.5142,93.2061,56205
MMR227,Township_227,17.0758,92.259,14942
MMR228,Township_228,26.0568,98.7962,8616
MMR229,Township_229,21.3605,97.5828,15205
MMR230,Township_230,24.3066,98.3367,72458
MMR231,Township_231,19.0475,93.9167,136740
MMR232,Township_232,20.3843,93.2273,118071
MMR233,Township_233,18.8653,92.1309,25066
MMR234,Township_234,13.5144,95.1553,59300
MMR235,Township_235,23.0041,97.3093,13262
MMR236,Township_236,15.0539,95.5302,18011
MMR237,Township_237,10.4377,95.9373,181577
MMR238,Township_238,21.6185,100.1374,5438
MMR239,Township_239,13.188,95.1343,8070
MMR240,Township_240,26.9283,96.6259,13404
MMR241,Township_241,27.1707,99.0529,5904
MMR242,Township_242,26.4676,95.5689,12139
MMR243,Township_243,16.6629,97.5988,44586
MMR244,Township_244,10.2782,99.7613,27010
MMR245,Township_245,26.7097,100.5457,176391
MMR246,Township_246,17.7073,93.3237,110371
MMR247,Township_247,27.3998,100.3393,21080
MMR248,Township_248,27.3452,96.429,16083
MMR249,Township_249,25.3542,94.3242,23743
MMR250,Township_250,15.3001,96.1322,45640
MMR251,Township_251,16.9318,100.8203,16563
MMR252,Township_252,25.3205,96.4336,51004
MMR253,Township_253,15.7046,94.9588,26030
MMR254,Township_254,13.0509,97.7006,40404
MMR255,Township_255,20.0224,94.1613,28256
MMR256,Township_256,26.8508,92.6828,18089
MMR257,Township_257,22.5285,93.1599,315996
MMR258,Township_258,20.2611,93.1524,85781
MMR259,Township_259,11.7492,93.3671,10293
MMR260,Township_260,21.0701,93.2494,148322
MMR261,Township_261,27.821,97.7679,33067
MMR262,Township_262,12.5215,93.6369,179015
MMR263,Township_263,19.3299,95.111,101130
MMR264,Township_264,25.7927,100.0711,27326
MMR265,Township_265,23.3338,96.2657,5763
MMR266,Township_266,22.5463,98.008,16597
MMR267,Township_267,22.6447,93.5509,39106
MMR268,Township_268,16.4708,93.7306,52627
MMR269,Township_269,15.2847,92.3678,15999
MMR270,Township_270,24.5685,93.5204,10261
MMR271,Township_271,24.582,94.5073,121159
MMR272,Township_272,25.6073,93.5931,755929
MMR273,Township_273,26.4383,92.7983,37210
MMR274,Township_274,19.2042,93.0857,11689
MMR275,Township_275,19.0273,96.147,16802
MMR276,Township_276,24.3693,93.857,5622
MMR277,Township_277,21.6994,95.2784,212224
MMR278,Township_278,22.6354,96.5308,9355
MMR279,Township_279,24.3243,98.2136,43663
MMR280,Township_280,26.0201,92.3538,16901
MMR281,Township_281,16.0839,99.1947,40676
MMR282,Township_282,16.7605,97.6511,55948
MMR283,Township_283,11.6917,92.7358,117766
MMR284,Township_284,20.409,99.8622,13332
MMR285,Township_285,10.647,100.2879,5369
MMR286,Township_286,18.3808,92.5497,10155
MMR287,Township_287,19.7676,94.4919,187108
MMR288,Township_288,15.1577,99.2558,153824
MMR289,Township_289,20.635,98.7343,46705
MMR290,Township_290,10.549,93.6607,47180
MMR291,Township_291,10.6723,93.8841,58666
MMR292,Township_292,24.8068,95.3342,11858
MMR293,Township_293,16.4834,96.3607,212450
MMR294,Township_294,12.2871,97.5643,26791
MMR295,Township_295,19.4004,95.3202,23999
MMR296,Township_296,23.8599,96.1628,36437
MMR297,Township_297,13.8848,98.7272,6629
MMR298,Township_298,21.212,92.3301,11444
MMR299,Township_299,11.5363,94.2719,77125
MMR300,Township_300,10.9303,98.4201,7965
MMR301,Township_301,19.5644,100.0569,47587
MMR302,Township_302,19.7314,96.6051,15321
MMR303,Township_303,21.4737,96.789,24462
MMR304,Township_304,23.0696,92.9645,17747
MMR305,Township_305,27.5653,96.0267,22024
MMR306,Township_306,19.2934,96.7936,71559
MMR307,Township_307,15.8132,94.1822,18248
MMR308,Township_308,24.3134,94.4232,42279
MMR309,Township_309,14.875,95.3956,31932
MMR310,Township_310,17.9015,92.1806,58385
MMR311,Township_311,11.4122,94.8987,270230
MMR312,Township_312,10.4563,93.903,75457
MMR313,Township_313,27.3277,94.9475,13753
MMR314,Township_314,25.0476,93.0779,6067
MMR315,Township_315,22.5275,100.0147,16240
MMR316,Township_316,17.3612,97.3423,46352
MMR317,Township_317,13.1193,98.1119,6791
MMR318,Township_318,12.8159,99.1025,33987
MMR319,Township_319,14.5044,96.486,46619
MMR320,Township_320,19.8861,92.7823,20578
MMR321,Township_321,22.8627,96.834,88547
MMR322,Township_322,21.8836,97.2816,8902
MMR323,Township_323,15.0388,98.709,7672
MMR324,Township_324,27.1876,95.8849,74158
MMR325,Township_325,23.2821,93.1482,33896
MMR326,Township_326,19.9784,94.554,63786
MMR327,Township_327,21.011,95.2677,28144
MMR328,Township_328,17.5528,97.8133,15377
MMR329,Township_329,14.4592,97.137,111320
