disaster_name,year,event_type,country,population,vulnerable_ratio,disaster_severity,water_needed,food_needed,source_citation
Katha Ayeyarwady Basin Flooding,2020,Flood,Myanmar,22000,0.22,6.5,88000,55000,Sagaing Relief Group
Bhamo Upper Ayeyarwady Inundation,2023,Flood,Myanmar,38000,0.25,6.8,152000,95000,Kachin State Relief
Loikaw Urban Inundation,2022,Flood,Myanmar,18000,0.22,6.4,72000,45000,Kayah DRR
Thandwe Coastal Typhoon Storm Surge,2023,Flood,Myanmar,28000,0.28,7.1,112000,70000,Rakhine South DRR
Labutta Cyclone Surge Evacuation,2008,Cyclone,Myanmar,185000,0.55,9.3,740000,462500,UN Post-Nargis Joint Assessment
Bogale Coastal Delta Inundation,2008,Cyclone,Myanmar,195000,0.52,9.2,780000,487500,UN-OCHA Archive
Pyapon Delta Waterway Overflow,2015,Flood,Myanmar,65000,0.25,6.8,260000,162500,Ayeyarwady DRR
Maubin Delta Agricultural Inundation,2019,Flood,Myanmar,42000,0.2,6.5,168000,105000,Ayeyarwady Relief
Thanlyin Coastal Tidal Backflow,2021,Flood,Myanmar,30000,0.18,6.2,90000,56250,Yangon Region DRR
Twante Canal Bank Inundation,2023,Flood,Myanmar,24000,0.2,6.4,96000,60000,Yangon Region DRR
Indian Ocean Tsunami (Sumatra-Andaman M9.1),2004,Tsunami,Indonesia,550000,0.6,9.8,5500000,3300000,NOAA National Geophysical Data Center
Super Typhoon Haiyan (Yolanda Cat 5),2013,Cyclone,Philippines,4100000,0.55,9.5,16400000,10250000,NDRRMC Philippines / UN-OCHA
Chao Phraya Historic Mega-Floods,2011,Flood,Thailand,3000000,0.3,8.6,9000000,5625000,Department of Disaster Prevention (DDPM)
Typhoon Rai (Odette Southern Leyte/Cebu),2021,Cyclone,Philippines,3000000,0.42,8.8,12000000,7500000,NDRRMC Philippines Situation Report
Palu Sulawesi Earthquake & Liquefaction (M7.5),2018,Earthquake,Indonesia,210000,0.48,8.7,945000,600000,AHA Centre / BNPB Flash Update
Typhoon Yagi Northern Vietnam Mountain Inundation,2024,Cyclone,Vietnam,1800000,0.44,9.0,7200000,4500000,AHA Centre / VDMA
Central Vietnam Historic Flood Series,2020,Flood,Vietnam,1500000,0.38,8.3,5700000,3562500,UN-OCHA Vietnam Flash Update
Typhoon Mangkhut (Ompong Luzon),2018,Cyclone,Philippines,1600000,0.35,8.4,5600000,3500000,PAGASA / AHA Centre
Typhoon Bopha (Pablo Cat 5 Mindanao),2012,Cyclone,Philippines,700000,0.45,8.9,2800000,1750000,NDRRMC / EM-DAT
Attapeu Xe-Pian Dam Breach Crisis,2018,Flood,Laos,13000,0.55,8.6,71500,45000,National Disaster Management Committee Laos
Mekong River Severe Inundation,2000,Flood,Cambodia,3400000,0.35,8.2,11900000,7437500,NCDM Cambodia / EM-DAT
Tonle Sap Seasonal Crisis & Inundation,2011,Flood,Cambodia,1500000,0.3,7.8,4500000,2812500,National Committee for Disaster Management (NCDM)
Padang West Sumatra Offshore Quake (M7.6),2009,Earthquake,Indonesia,450000,0.38,8.2,1800000,1125000,BNPB Indonesia / EM-DAT
Yogyakarta Java Earthquake (M6.3),2006,Earthquake,Indonesia,320000,0.35,7.9,1280000,800000,BMKG Indonesia / USGS
Lombok Sequential Quakes (M6.9),2018,Earthquake,Indonesia,390000,0.32,7.9,1248000,780000,BNPB Indonesia
Cianjur West Java Fault Quake (M5.6),2022,Earthquake,Indonesia,115000,0.36,7.5,414000,258750,BNPB / EM-DAT
Mount Merapi Pyroclastic Inundation,2010,Volcano,Indonesia,350000,0.4,8.0,1400000,875000,Centre for Volcanology (PVMBG)
Sunda Strait Krakatoa Tsunami Surge,2018,Tsunami,Indonesia,42000,0.4,7.8,168000,105000,BMKG / ReliefWeb
Jakarta Monsoon Mega-Inundation,2020,Flood,Indonesia,170000,0.22,7.3,680000,425000,Jakarta Provincial Disaster Agency (BPBD)
Bohol Visayas Island Quake (M7.2),2013,Earthquake,Philippines,350000,0.3,8.1,1400000,875000,PHIVOLCS / ReliefWeb
Taal Volcano Eruption & Ash Dispersion,2020,Volcano,Philippines,380000,0.3,7.7,114000,71250,PHIVOLCS Bulletin
Luzon Central Cordillera Quake (M7.0),2022,Earthquake,Philippines,150000,0.25,7.6,600000,375000,USGS Hazards / NDRRMC
Mindanao Sequential Quakes Series,2019,Earthquake,Philippines,260000,0.3,7.5,780000,487500,PHIVOLCS / EM-DAT
Typhoon Vamco (Ulysses Marikina Basin),2020,Flood,Philippines,1200000,0.28,7.9,3360000,2100000,NDRRMC Flash Report
Mae Sai & Chiang Rai Flash Inundation,2024,Flood,Thailand,95000,0.32,7.8,380000,237500,AHA Centre Flash Update
Chiang Mai Ping River Overflow,2022,Flood,Thailand,140000,0.18,6.8,420000,262500,DDPM Northern Region
Peninsular Malaysia December Flash Floods,2021,Flood,Malaysia,125000,0.18,7.2,375000,234375,NADMA Malaysia Situation Report
Kelantan & Terengganu Monsoon Floods,2014,Flood,Malaysia,200000,0.22,7.5,600000,375000,National Disaster Management Agency (NADMA)
Tropical Storm Son-Tinh Flash Inundation,2018,Flood,Laos,85000,0.3,7.2,255000,160000,AHA Centre Situation Report
Tropical Storm Nangka Flash Inundation,2020,Flood,Cambodia,800000,0.25,7.4,2000000,1250000,AHA Centre / NCDM
Cyclone Sidr (Southwestern Bengal Coast),2007,Cyclone,Bangladesh,8900000,0.5,9.3,35600000,22250000,Ministry of Disaster Management Bangladesh
Cyclone Amphan (Ganges Delta),2020,Cyclone,Bangladesh,2500000,0.4,8.9,10000000,6250000,UN-OCHA Bangladesh
Cyclone Remal (Coastal Storm Surge),2024,Cyclone,Bangladesh,3750000,0.38,8.5,14250000,8906250,Disaster Management Bureau
Sichuan Wenchuan Great Earthquake (M7.9),2008,Earthquake,China,45000000,0.35,9.6,157500000,98437500,China Earthquake Administration / USGS
Lushan Ya'an Seismic Disaster (M6.6),2013,Earthquake,China,1500000,0.25,7.8,3750000,2343750,CEA / EM-DAT
Ludian Yunnan Seismic Emergency (M6.2),2014,Earthquake,China,1080000,0.3,7.7,3240000,2025000,USGS Hazards
Great East Japan Earthquake & Tsunami (M9.1),2011,Tsunami,Japan,470000,0.45,9.8,2115000,1321875,Japan Meteorological Agency (JMA) / USGS
Noto Peninsula Subduction Quake (M7.5),2024,Earthquake,Japan,140000,0.28,8.2,392000,245000,Cabinet Office Japan Disaster Management
Hualien Taiwan Offshore Quake (M7.4),2024,Earthquake,Taiwan,120000,0.22,8.0,264000,165000,Central Weather Administration (CWA)
Gorkha Nepal Himalayan Quake (M7.8),2015,Earthquake,Nepal,8000000,0.48,8.9,38400000,24000000,Ministry of Home Affairs Nepal / UN-OCHA
Kashmir Sub-Himalayan Quake (M7.6),2005,Earthquake,Pakistan,3500000,0.5,8.8,17500000,10937500,National Disaster Management Authority (NDMA)
Pakistan Monsoon Super-Floods,2022,Flood,Pakistan,33000000,0.45,9.4,148500000,92812500,UN-OCHA Flash Appeal
Assam Brahmaputra River Basin Floods,2022,Flood,India,5400000,0.3,7.8,16200000,10125000,Assam State Disaster Management (ASDMA)
Cyclone Fani (Odisha Coast),2019,Cyclone,India,1200000,0.35,8.6,4200000,2625000,IMD / National Disaster Management Authority
Gujarat Bhuj Major Quake (M7.7),2001,Earthquake,India,1500000,0.45,9.0,6750000,4218750,National Disaster Management Authority
Haiti Port-au-Prince Earthquake (M7.0),2010,Earthquake,Haiti,3000000,0.55,9.4,16500000,9900000,UN-OCHA Emergency Operations
Turkey-Syria Kahramanmaras Quake (M7.8),2023,Earthquake,Turkey,9000000,0.42,9.5,37800000,22680000,AFAD / UN-OCHA Flash Update
Morocco Al Haouz High Atlas Quake (M6.8),2023,Earthquake,Morocco,300000,0.38,8.1,1140000,684000,Civil Protection Directorate Morocco
Libya Derna Storm Daniel Dam Breach,2023,Flood,Libya,120000,0.5,8.9,600000,360000,UN-OCHA Libya Situation Report
Afghanistan Herat Triple Quakes (M6.3),2023,Earthquake,Afghanistan,110000,0.45,7.8,495000,297000,WHO / UN-OCHA Afghanistan
